,0,1,2,3,4,5,6,7,8,9,10,11
289,157,144,52,3321,24,2011-Q3,1,A07,A00,U,11,54
290,31,22,14,1114,11,2011-Q3,2,A02,A00,U,11,54
291,47,44,23,1909,8,2011-Q3,2,A07,A00,U,11,54
292,1031,765,516,5041,398,2011-Q3,1,A02,A00,U,21,54
293,5465,5180,284,7203,338,2011-Q3,1,A07,A00,U,21,54
294,38,19,16,1725,25,2011-Q3,2,A02,A00,U,21,54
295,273,257,26,4575,20,2011-Q3,2,A07,A00,U,21,54
296,63,46,17,2089,20,2011-Q3,1,A02,A00,U,22,54
297,1372,1325,33,6491,56,2011-Q3,1,A07,A00,U,22,54
298,10,8,3,658,4,2011-Q3,2,A02,A00,U,22,54
299,307,296,6,3588,12,2011-Q3,2,A07,A00,U,22,54
300,1600,866,971,2570,1113,2011-Q3,1,A02,A00,U,23,54
301,4969,4289,1226,4716,1145,2011-Q3,1,A07,A00,U,23,54
302,182,62,66,1530,153,2011-Q3,2,A02,A00,U,23,54
303,680,624,97,2980,97,2011-Q3,2,A07,A00,U,23,54
304,63,39,18,1360,34,2011-Q4,1,A02,A00,U,11,54
305,184,140,25,3245,54,2011-Q4,1,A07,A00,U,11,54
306,33,24,,1132,9,2011-Q4,2,A02,A00,U,11,54
307,63,46,3,1709,18,2011-Q4,2,A07,A00,U,11,54
308,1068,872,392,5188,287,2011-Q4,1,A02,A00,U,21,54
309,5587,5284,307,7656,424,2011-Q4,1,A07,A00,U,21,54
310,29,25,10,1628,5,2011-Q4,2,A02,A00,U,21,54
311,282,273,34,5386,22,2011-Q4,2,A07,A00,U,21,54
312,49,43,12,2203,8,2011-Q4,1,A02,A00,U,22,54
313,1398,1364,27,6348,50,2011-Q4,1,A07,A00,U,22,54
314,9,7,,626,,2011-Q4,2,A02,A00,U,22,54
315,311,305,5,3645,9,2011-Q4,2,A07,A00,U,22,54
316,1347,930,710,2341,721,2011-Q4,1,A02,A00,U,23,54
317,5172,4261,1113,4862,1510,2011-Q4,1,A07,A00,U,23,54
318,87,55,42,1464,51,2011-Q4,2,A02,A00,U,23,54
319,689,619,123,3079,125,2011-Q4,2,A07,A00,U,23,54
320,49,39,33,1537,23,2012-Q1,1,A02,A00,U,11,54
321,159,144,23,3036,24,2012-Q1,1,A07,A00,U,11,54
322,23,17,9,1057,7,2012-Q1,2,A02,A00,U,11,54
323,50,45,12,1708,9,2012-Q1,2,A07,A00,U,11,54
324,1084,881,286,5037,263,2012-Q1,1,A02,A00,U,21,54
325,5677,5205,323,7546,549,2012-Q1,1,A07,A00,U,21,54
326,33,24,13,1781,14,2012-Q1,2,A02,A00,U,21,54
327,292,266,22,4758,30,2012-Q1,2,A07,A00,U,21,54
328,45,40,12,2169,8,2012-Q1,1,A02,A00,U,22,54
329,1433,1195,43,6881,272,2012-Q1,1,A07,A00,U,22,54
330,7,7,0,405,,2012-Q1,2,A02,A00,U,22,54
331,312,272,13,3693,49,2012-Q1,2,A07,A00,U,22,54
332,1201,870,575,2250,500,2012-Q1,1,A02,A00,U,23,54
333,4685,4116,973,4347,841,2012-Q1,1,A07,A00,U,23,54
334,71,54,44,1265,33,2012-Q1,2,A02,A00,U,23,54
335,685,623,84,2656,88,2012-Q1,2,A07,A00,U,23,54
336,64,45,71,1509,43,2012-Q2,1,A02,A00,U,11,54
337,167,147,24,2876,29,2012-Q2,1,A07,A00,U,11,54
338,26,21,20,1175,13,2012-Q2,2,A02,A00,U,11,54
339,60,53,7,1825,8,2012-Q2,2,A07,A00,U,11,54
340,994,789,353,5290,262,2012-Q2,1,A02,A00,U,21,54
341,5580,5213,287,7319,402,2012-Q2,1,A07,A00,U,21,54
342,25,16,18,1397,11,2012-Q2,2,A02,A00,U,21,54
343,291,274,24,4445,25,2012-Q2,2,A07,A00,U,21,54
344,48,44,33,1997,8,2012-Q2,1,A02,A00,U,22,54
345,1279,1241,307,5720,57,2012-Q2,1,A07,A00,U,22,54
346,6,6,,535,0,2012-Q2,2,A02,A00,U,22,54
347,296,285,51,3484,21,2012-Q2,2,A07,A00,U,22,54
348,1265,932,1365,2624,710,2012-Q2,1,A02,A00,U,23,54
349,5133,4429,1582,4668,1320,2012-Q2,1,A07,A00,U,23,54
350,80,63,166,1569,53,2012-Q2,2,A02,A00,U,23,54
351,723,659,145,2903,122,2012-Q2,2,A07,A00,U,23,54
352,88,54,50,1445,46,2012-Q3,1,A02,A00,U,11,54
353,170,152,46,2744,29,2012-Q3,1,A07,A00,U,11,54
354,34,23,16,1239,17,2012-Q3,2,A02,A00,U,11,54
355,55,49,20,1812,12,2012-Q3,2,A07,A00,U,11,54
356,960,723,209,4840,298,2012-Q3,1,A02,A00,U,21,54
357,5522,5120,258,6463,476,2012-Q3,1,A07,A00,U,21,54
358,32,18,15,1695,18,2012-Q3,2,A02,A00,U,21,54
359,290,264,20,4605,37,2012-Q3,2,A07,A00,U,21,54
360,62,51,17,2469,17,2012-Q3,1,A02,A00,U,22,54
